"ISO3_code","Time","PopFemale"
"AFG",2043,17611989
"AFG",2044,17966758
"AFG",2045,18313028
"AFG",2046,18650649
"AFG",2047,18981148
"AFG",2048,19304661
"AFG",2049,19619489
"AFG",2050,19926372
"AFG",2051,20226747
"AFG",2052,20522423
"AFG",2053,20812350
"AFG",2054,21096629
"AFG",2055,21377512
"AFG",2056,21650933
"AFG",2057,21916070
"AFG",2058,22188784
"AFG",2059,22465834
"AFG",2060,22733046
"AFG",2061,22993542
"AFG",2062,23239669
"AFG",2063,23467008
"AFG",2064,23681664
"AFG",2065,23882271
"AFG",2066,24072868
"AFG",2067,24256772
"AFG",2068,24429579
"AFG",2069,24590696
"AFG",2070,24741935
"AFG",2071,24877665
"AFG",2072,25000650
"AFG",2073,25116081
"AFG",2074,25222313
"AFG",2075,25322467
"AFG",2076,25414125
"AFG",2077,25494802
"AFG",2078,25568150
"AFG",2079,25636916
"AFG",2080,25698441
"AFG",2081,25753609
"AFG",2082,25805530
"AFG",2083,25853855
"AFG",2084,25895160
"AFG",2085,25927564
"AFG",2086,25951912
"AFG",2087,25968641
"AFG",2088,25979643
"AFG",2089,25984922
"AFG",2090,25982857
"AFG",2091,25974801
"AFG",2092,25961080
"AFG",2093,25940330
"AFG",2094,25914489
"AFG",2095,25883291
"AFG",2096,25844451
"AFG",2097,25801163
"AFG",2098,25754796
"AFG",2099,25703527
"AFG",2100,25645833
"AGO",1950,1142032
"AGO",1951,1163379
"AGO",1952,1184822
"AGO",1953,1205189
"AGO",1954,1223126
"AGO",1955,1238231
"AGO",1956,1250787
"AGO",1957,1261560
"AGO",1958,1270960
"AGO",1959,1280001
"AGO",1960,1288965
"AGO",1961,1297486
"AGO",1962,1305364
"AGO",1963,1311408
"AGO",1964,1314079
"AGO",1965,1315194
"AGO",1966,1315292
"AGO",1967,1313633
"AGO",1968,1313105
"AGO",1969,1318464
"AGO",1970,1332135
"AGO",1971,1358721
"AGO",1972,1402207
"AGO",1973,1455603
"AGO",1974,1512054
"AGO",1975,1570117
"AGO",1976,1629148
"AGO",1977,1691173
"AGO",1978,1756830
"AGO",1979,1824561
"AGO",1980,1895477
"AGO",1981,1968779
"AGO",1982,2043891
"AGO",1983,2121603
"AGO",1984,2200222
"AGO",1985,2278023
"AGO",1986,2353753
"AGO",1987,2427720
"AGO",1988,2503445
"AGO",1989,2582687
"AGO",1990,2665592
"AGO",1991,2750225
"AGO",1992,2837050
"AGO",1993,2928756
"AGO",1994,3026757
"AGO",1995,3130412
"AGO",1996,3239176
"AGO",1997,3355043
"AGO",1998,3477946
"AGO",1999,3608070
"AGO",2000,3743788
"AGO",2001,3884771
"AGO",2002,4032042
"AGO",2003,4184613
"AGO",2004,4343445
"AGO",2005,4507388
"AGO",2006,4675913
"AGO",2007,4850217
"AGO",2008,5028973
"AGO",2009,5212808
"AGO",2010,5405014
"AGO",2011,5605914
"AGO",2012,5813655
"AGO",2013,6026593
"AGO",2014,6243948
"AGO",2015,6466085
"AGO",2016,6699072
"AGO",2017,6943209
"AGO",2018,7192397
"AGO",2019,7449500
"AGO",2020,7708028
"AGO",2021,7973398
"AGO",2022,8249489
"AGO",2023,8531630
"AGO",2024,8825658
"AGO",2025,9130607
"AGO",2026,9445545
"AGO",2027,9770653
"AGO",2028,10105492
"AGO",2029,10448626
"AGO",2030,10798940
"AGO",2031,11155352
"AGO",2032,11517938
"AGO",2033,11886676
"AGO",2034,12261077
"AGO",2035,12641461
"AGO",2036,13027664
"AGO",2037,13418129
"AGO",2038,13812390
"AGO",2039,14211307
"AGO",2040,14615365
"AGO",2041,15025217
"AGO",2042,15441449
"AGO",2043,15864295
"AGO",2044,16293047
"AGO",2045,16727656
"AGO",2046,17168235
"AGO",2047,17613129
"AGO",2048,18061681
"AGO",2049,18513058
"AGO",2050,18965971
"AGO",2051,19419434
"AGO",2052,19871474
"AGO",2053,20319873
"AGO",2054,20763249
"AGO",2055,21202074
"AGO",2056,21635818
"AGO",2057,22061037
"AGO",2058,22479284
"AGO",2059,22891015
"AGO",2060,23293252
"AGO",2061,23687925
"AGO",2062,24074762
"AGO",2063,24453019
"AGO",2064,24824501
"AGO",2065,25189237
"AGO",2066,25547320
"AGO",2067,25899316
"AGO",2068,26244733
"AGO",2069,26583109
"AGO",2070,26912538
"AGO",2071,27234105
"AGO",2072,27552065
"AGO",2073,27863485
"AGO",2074,28163175
"AGO",2075,28453046
"AGO",2076,28735606
"AGO",2077,29009517
"AGO",2078,29276066
"AGO",2079,29535319
"AGO",2080,29783718
"AGO",2081,30023798
"AGO",2082,30254844
"AGO",2083,30474021
"AGO",2084,30685677
"AGO",2085,30890956
"AGO",2086,31087258
"AGO",2087,31272197
"AGO",2088,31448139
"AGO",2089,31616463
"AGO",2090,31775828
"AGO",2091,31923359
"AGO",2092,32060839
"AGO",2093,32191880
"AGO",2094,32314821
"AGO",2095,32433004
"AGO",2096,32545963
"AGO",2097,32652658
"AGO",2098,32753296
"AGO",2099,32845642
"AGO",2100,32932934
"AIA",1950,1227
"AIA",1951,1260
"AIA",1952,1279
"AIA",1953,1278
"AIA",1954,1266
"AIA",1955,1258
"AIA",1956,1251
"AIA",1957,1242
"AIA",1958,1234
"AIA",1959,1228
"AIA",1960,1218
"AIA",1961,1211
"AIA",1962,1205
"AIA",1963,1200
"AIA",1964,1198
"AIA",1965,1200
"AIA",1966,1205
"AIA",1967,1216
"AIA",1968,1225
"AIA",1969,1234
"AIA",1970,1240
"AIA",1971,1240
"AIA",1972,1240
"AIA",1973,1240
"AIA",1974,1256
"AIA",1975,1293
"AIA",1976,1336
"AIA",1977,1378
"AIA",1978,1414
"AIA",1979,1440
"AIA",1980,1458
"AIA",1981,1471
"AIA",1982,1482
"AIA",1983,1486
"AIA",1984,1516
"AIA",1985,1595
"AIA",1986,1692
"AIA",1987,1790
"AIA",1988,1885
"AIA",1989,1976
"AIA",1990,2066
"AIA",1991,2160
"AIA",1992,2255
"AIA",1993,2347
"AIA",1994,2450
"AIA",1995,2559
"AIA",1996,2666
"AIA",1997,2773
"AIA",1998,2879
"AIA",1999,2982
"AIA",2000,3085
"AIA",2001,3182
"AIA",2002,3279
"AIA",2003,3364
"AIA",2004,3437
"AIA",2005,3502
"AIA",2006,3550
"AIA",2007,3588
"AIA",2008,3622
"AIA",2009,3653
"AIA",2010,3676
"AIA",2011,3688
"AIA",2012,3692
"AIA",2013,3759
"AIA",2014,3908
"AIA",2015,4044
"AIA",2016,4119
"AIA",2017,4152
"AIA",2018,4170
"AIA",2019,4211
"AIA",2020,4255
"AIA",2021,4285
"AIA",2022,4285
"AIA",2023,4259
"AIA",2024,4235
"AIA",2025,4214
"AIA",2026,4192
"AIA",2027,4167
"AIA",2028,4141
"AIA",2029,4101
"AIA",2030,4046
"AIA",2031,3981
"AIA",2032,3907
"AIA",2033,3825
"AIA",2034,3733
"AIA",2035,3633
"AIA",2036,3537
"AIA",2037,3444
"AIA",2038,3357
"AIA",2039,3276
"AIA",2040,3203
"AIA",2041,3136
"AIA",2042,3075
"AIA",2043,3018
"AIA",2044,2967
"AIA",2045,2923
"AIA",2046,2883
"AIA",2047,2852
"AIA",2048,2827
"AIA",2049,2802
"AIA",2050,2779
"AIA",2051,2761
"AIA",2052,2741
"AIA",2053,2722
"AIA",2054,2703
"AIA",2055,2681
"AIA",2056,2655
"AIA",2057,2621
"AIA",2058,2581
"AIA",2059,2538
"AIA",2060,2488
"AIA",2061,2442
"AIA",2062,2397
"AIA",2063,2351
"AIA",2064,2313
"AIA",2065,2281
"AIA",2066,2249
"AIA",2067,2216
"AIA",2068,2184
"AIA",2069,2152
"AIA",2070,2126
"AIA",2071,2100
"AIA",2072,2076
"AIA",2073,2052
"AIA",2074,2027
"AIA",2075,2007
"AIA",2076,1984
"AIA",2077,1964
"AIA",2078,1945
"AIA",2079,1924
"AIA",2080,1906
"AIA",2081,1887
"AIA",2082,1868
"AIA",2083,1848
"AIA",2084,1830
"AIA",2085,1813
"AIA",2086,1796
"AIA",2087,1779
"AIA",2088,1760
"AIA",2089,1744
"AIA",2090,1726
"AIA",2091,1708
"AIA",2092,1690
"AIA",2093,1672
"AIA",2094,1655
"AIA",2095,1636
"AIA",2096,1618
"AIA",2097,1600
"AIA",2098,1582
"AIA",2099,1565
"AIA",2100,1549
"ALB",1950,273839
"ALB",1951,282446
"ALB",1952,291585
"ALB",1953,301011
"ALB",1954,310538
"ALB",1955,319968
"ALB",1956,329151
"ALB",1957,338122
"ALB",1958,347011
"ALB",1959,355973
"ALB",1960,365156
"ALB",1961,374671
"ALB",1962,384597
"ALB",1963,395090
"ALB",1964,406299
"ALB",1965,418594
"ALB",1966,431992
"ALB",1967,446113
"ALB",1968,461099
"ALB",1969,477048
"ALB",1970,494001
"ALB",1971,512014
"ALB",1972,531054
"ALB",1973,551146
"ALB",1974,572303
"ALB",1975,594231
"ALB",1976,616520
"ALB",1977,638764
"ALB",1978,660615
"ALB",1979,681776
"ALB",1980,701914
"ALB",1981,720979
"ALB",1982,739141
"ALB",1983,756413
"ALB",1984,772542
"ALB",1985,787168
"ALB",1986,800009
"ALB",1987,810828
"ALB",1988,819414
"ALB",1989,825654
"ALB",1990,829877
"ALB",1991,832701
"ALB",1992,834350
"ALB",1993,835148
"ALB",1994,835387
"ALB",1995,835086
"ALB",1996,834303
"ALB",1997,832955
"ALB",1998,830797
"ALB",1999,827713
"ALB",2000,823290
"ALB",2001,817562
"ALB",2002,811022
"ALB",2003,803727
"ALB",2004,795808
"ALB",2005,787322
"ALB",2006,778117
"ALB",2007,768567
"ALB",2008,758894
"ALB",2009,749315
"ALB",2010,740445
"ALB",2011,732430
"ALB",2012,725082
"ALB",2013,717908
"ALB",2014,711284
"ALB",2015,705805
"ALB",2016,699900
"ALB",2017,693330
"ALB",2018,686854
"ALB",2019,680238
"ALB",2020,673727
"ALB",2021,666453
"ALB",2022,659953
"ALB",2023,654980
"ALB",2024,650383
"ALB",2025,646209
"ALB",2026,641904
"ALB",2027,637952
"ALB",2028,634635
"ALB",2029,631672
"ALB",2030,628532
"ALB",2031,624394
"ALB",2032,619424
"ALB",2033,613428
"ALB",2034,606470
"ALB",2035,599373
"ALB",2036,591942
"ALB",2037,584368
"ALB",2038,576453
"ALB",2039,567380
"ALB",2040,557101
"ALB",2041,545864
"ALB",2042,533924
"ALB",2043,521493
"ALB",2044,508700
"ALB",2045,495912
"ALB",2046,483292
"ALB",2047,471328
"ALB",2048,460293
"ALB",2049,449240
"ALB",2050,438493
"ALB",2051,429086
"ALB",2052,419915
"ALB",2053,411027
"ALB",2054,402583
"ALB",2055,394216
"ALB",2056,386681
"ALB",2057,379652
"ALB",2058,372658
"ALB",2059,365667
"ALB",2060,358677
"ALB",2061,351568
"ALB",2062,344142
"ALB",2063,336437
"ALB",2064,328662
"ALB",2065,321210
"ALB",2066,314348
"ALB",2067,308002
"ALB",2068,302172
"ALB",2069,296577
"ALB",2070,291051
"ALB",2071,285391
"ALB",2072,279431
"ALB",2073,273317
"ALB",2074,267196
"ALB",2075,261036
"ALB",2076,254841
"ALB",2077,248662
"ALB",2078,242544
"ALB",2079,236513
"ALB",2080,230557
"ALB",2081,224679
"ALB",2082,218930
"ALB",2083,213311
"ALB",2084,207817
"ALB",2085,202428
"ALB",2086,197146
"ALB",2087,191967
"ALB",2088,186895
"ALB",2089,181947
"ALB",2090,177102
"ALB",2091,172337
"ALB",2092,167645
"ALB",2093,163019
"ALB",2094,158431
"ALB",2095,153896
"ALB",2096,149414
"ALB",2097,144965
"ALB",2098,140560
"ALB",2099,136191
"ALB",2100,131877
"AND",1950,1556
"AND",1951,1494
"AND",1952,1360
"AND",1953,1296
"AND",1954,1366
"AND",1955,1523
"AND",1956,1691
"AND",1957,1868
"AND",1958,2050
"AND",1959,2247
"AND",1960,2449
"AND",1961,2652
"AND",1962,2853
"AND",1963,3051
"AND",1964,3251
"AND",1965,3451
"AND",1966,3673
"AND",1967,3933
"AND",1968,4233
"AND",1969,4559
"AND",1970,4922
"AND",1971,5309
"AND",1972,5715
"AND",1973,6137
"AND",1974,6563
"AND",1975,6998
"AND",1976,7435
"AND",1977,7873
"AND",1978,8306
"AND",1979,8729
"AND",1980,9152
"AND",1981,9581
"AND",1982,10070
"AND",1983,10617
"AND",1984,11177
"AND",1985,11751
"AND",1986,12325
"AND",1987,12904
"AND",1988,13489
"AND",1989,14073
"AND",1990,14648
"AND",1991,15261
"AND",1992,15909
"AND",1993,16540
"AND",1994,17129
"AND",1995,17675
"AND",1996,17966
"AND",1997,17985
"AND",1998,17963
"AND",1999,17920
"AND",2000,17860
"AND",2001,18259
"AND",2002,19139
"AND",2003,20012
"AND",2004,20864
"AND",2005,21683
"AND",2006,21805
"AND",2007,21263
"AND",2008,20745
"AND",2009,20235
"AND",2010,19714
"AND",2011,19335
"AND",2012,19090
"AND",2013,18823
"AND",2014,18610
"AND",2015,18376
"AND",2016,18293
"AND",2017,18417
"AND",2018,18502
"AND",2019,18599
"AND",2020,18726
"AND",2021,18822
"AND",2022,18694
"AND",2023,18430
"AND",2024,18210
"AND",2025,17976
"AND",2026,17736
"AND",2027,17478
"AND",2028,17215
"AND",2029,16973
"AND",2030,16727
"AND",2031,16452
"AND",2032,16160
"AND",2033,15929
"AND",2034,15724
"AND",2035,15494
"AND",2036,15199
"AND",2037,14959
"AND",2038,14787
"AND",2039,14599
"AND",2040,14425
"AND",2041,14245
"AND",2042,14075
"AND",2043,13917
"AND",2044,13788
"AND",2045,13689
"AND",2046,13601
"AND",2047,13507
"AND",2048,13389
"AND",2049,13247
"AND",2050,13121
"AND",2051,13014
"AND",2052,12889
"AND",2053,12771
"AND",2054,12667
"AND",2055,12575
"AND",2056,12491
"AND",2057,12396
"AND",2058,12262
"AND",2059,12098
"AND",2060,11937
"AND",2061,11789
"AND",2062,11661
"AND",2063,11554
"AND",2064,11456
"AND",2065,11361
"AND",2066,11270
"AND",2067,11190
"AND",2068,11115
"AND",2069,11065
"AND",2070,11060
"AND",2071,11112
"AND",2072,11127
"AND",2073,11068
"AND",2074,11018
"AND",2075,10969
"AND",2076,10921
"AND",2077,10874
"AND",2078,10833
"AND",2079,10795
"AND",2080,10754
"AND",2081,10713
"AND",2082,10675
"AND",2083,10638
"AND",2084,10599
"AND",2085,10563
"AND",2086,10523
"AND",2087,10482
"AND",2088,10444
"AND",2089,10402
"AND",2090,10358
"AND",2091,10317
"AND",2092,10274
"AND",2093,10229
"AND",2094,10187
"AND",2095,10148
"AND",2096,10108
"AND",2097,10071
"AND",2098,10042
"AND",2099,10012
"AND",2100,9989
"ARE",1950,16183
"ARE",1951,16769
"ARE",1952,17423
"ARE",1953,18148
"ARE",1954,18943
"ARE",1955,19806
"ARE",1956,20745
"ARE",1957,21764
"ARE",1958,22855
"ARE",1959,24019
"ARE",1960,25247
"ARE",1961,26521
"ARE",1962,27818
"ARE",1963,29119
"ARE",1964,30415
"ARE",1965,31695
"ARE",1966,32943
"ARE",1967,34140
"ARE",1968,36595
"ARE",1969,40876
"ARE",1970,45905
"ARE",1971,51329
"ARE",1972,57083
"ARE",1973,63170
"ARE",1974,69501
"ARE",1975,75883
"ARE",1976,86269
"ARE",1977,101142
"ARE",1978,116827
"ARE",1979,133078
"ARE",1980,149698
"ARE",1981,165996
"ARE",1982,182316
"ARE",1983,199434
"ARE",1984,217056
"ARE",1985,234871
"ARE",1986,251242
"ARE",1987,267302
"ARE",1988,285558
"ARE",1989,305782
"ARE",1990,327682
"ARE",1991,350888
"ARE",1992,374962
"ARE",1993,399572
"ARE",1994,424556
"ARE",1995,450013
"ARE",1996,479380
"ARE",1997,514474
"ARE",1998,553360
"ARE",1999,595069
"ARE",2000,638425
"ARE",2001,682107
"ARE",2002,725066
"ARE",2003,766896
"ARE",2004,807709
"ARE",2005,867476
"ARE",2006,991234
"ARE",2007,1187045
"ARE",2008,1412012
"ARE",2009,1613770
"ARE",2010,1717725
"ARE",2011,1747178
"ARE",2012,1773057
"ARE",2013,1794929
"ARE",2014,1812694
"ARE",2015,1826536
"ARE",2016,1836833
"ARE",2017,1843993
"ARE",2018,1848460
"ARE",2019,1850900
"ARE",2020,1854693
"ARE",2021,1860470
"ARE",2022,1872646
"ARE",2023,1891835
"ARE",2024,1911747
"ARE",2025,1932020
"ARE",2026,1952086
"ARE",2027,1971217
"ARE",2028,1988571
"ARE",2029,2003262
"ARE",2030,2014480
"ARE",2031,2021845
"ARE",2032,2025770
"ARE",2033,2027243
"ARE",2034,2027406
"ARE",2035,2026587
"ARE",2036,2024074
"ARE",2037,2019734
"ARE",2038,2014771
"ARE",2039,2010461
"ARE",2040,2007568
"ARE",2041,2006538
"ARE",2042,2007635
"ARE",2043,2011431
"ARE",2044,2018792
"ARE",2045,2030465
"ARE",2046,2046531
"ARE",2047,2066141
"ARE",2048,2087965
"ARE",2049,2110888
"ARE",2050,2134038
"ARE",2051,2156837
"ARE",2052,2179359
"ARE",2053,2200530
"ARE",2054,2217834
"ARE",2055,2232363
"ARE",2056,2246463
"ARE",2057,2259721
"ARE",2058,2271686
"ARE",2059,2282119
"ARE",2060,2290679
"ARE",2061,2297482
"ARE",2062,2303228
"ARE",2063,2308710
"ARE",2064,2314745
"ARE",2065,2322107
"ARE",2066,2331034
"ARE",2067,2341114
"ARE",2068,2351128
"ARE",2069,2360063
"ARE",2070,2367884
"ARE",2071,2375638
"ARE",2072,2384343
"ARE",2073,2393819
"ARE",2074,2403828
"ARE",2075,2414372
"ARE",2076,2425424
"ARE",2077,2437138
"ARE",2078,2449638
"ARE",2079,2462908
"ARE",2080,2477016
"ARE",2081,2491797
"ARE",2082,2506983
"ARE",2083,2522374
"ARE",2084,2537791
"ARE",2085,2553270
"ARE",2086,2568587
"ARE",2087,2583563
"ARE",2088,2598171
"ARE",2089,2612371
"ARE",2090,2626106
"ARE",2091,2638995
"ARE",2092,2651070
"ARE",2093,2662318
"ARE",2094,2672900
"ARE",2095,2683223
"ARE",2096,2693316
"ARE",2097,2703287
"ARE",2098,2713082
"ARE",2099,2722753
"ARE",2100,2732529
"ARG",1950,4487459
"ARG",1951,4568808
"ARG",1952,4647009
"ARG",1953,4722555
"ARG",1954,4796171
"ARG",1955,4868290
"ARG",1956,4940036
"ARG",1957,5012268
"ARG",1958,5085446
"ARG",1959,5159732
"ARG",1960,5235182
"ARG",1961,5311368
"ARG",1962,5387832
"ARG",1963,5464878
"ARG",1964,5541545
"ARG",1965,5619055
"ARG",1966,5699297
"ARG",1967,5782108
"ARG",1968,5866622
"ARG",1969,5950932
"ARG",1970,6034176
"ARG",1971,6117209
"ARG",1972,6201268
"ARG",1973,6284299
"ARG",1974,6365197
"ARG",1975,6438417
"ARG",1976,6502306
"ARG",1977,6564717
"ARG",1978,6627934
"ARG",1979,6693575
"ARG",1980,6763568
"ARG",1981,6840736
"ARG",1982,6926214
"ARG",1983,7018836
"ARG",1984,7118016
"ARG",1985,7223294
"ARG",1986,7336057
"ARG",1987,7456341
"ARG",1988,7583196
"ARG",1989,7714794
"ARG",1990,7845984
"ARG",1991,7974643
"ARG",1992,8103648
"ARG",1993,8233230
"ARG",1994,8361155
"ARG",1995,8485858
"ARG",1996,8606310
"ARG",1997,8722072
"ARG",1998,8834208
"ARG",1999,8945437
"ARG",2000,9055242
"ARG",2001,9163034
"ARG",2002,9268929
"ARG",2003,9372914
"ARG",2004,9477303
"ARG",2005,9584879
"ARG",2006,9695416
"ARG",2007,9806135
"ARG",2008,9920376
"ARG",2009,10040261
"ARG",2010,10160783
"ARG",2011,10278220
"ARG",2012,10390629
"ARG",2013,10499210
"ARG",2014,10608164
"ARG",2015,10717067
"ARG",2016,10822080
"ARG",2017,10923122
"ARG",2018,11020617
"ARG",2019,11113926
"ARG",2020,11201671
"ARG",2021,11281300
"ARG",2022,11353531
"ARG",2023,11419811
"ARG",2024,11480757
"ARG",2025,11538693
"ARG",2026,11593269
"ARG",2027,11643255
"ARG",2028,11690209
"ARG",2029,11735184
"ARG",2030,11779032
"ARG",2031,11818960
